Skill 1 Attack: Damage Formula: a.atk * 4 - b.def * 2
Skill 3 Thunder: Damage Formula: 200 + a.mat * 2 - b.mdf * 2
Skill 4 Foot on the door!: Damage Formula: a.atk * 5 - b.def * 2
Skill 5 Fist on the face!: Damage Formula: a.atk * 5 - b.def * 2
Troop 1 Evil Bat  Page 1 Line 2:  - Script call: Lune_Message.config(2, 0)
Common Event 1 Game Over Line 18:  - Script call: Lune_Message.config(1, 4)
Common Event 1 Game Over Line 24:  - Script call: Lune_Message.config(0, 0)
Common Event 1 Game Over Line 27:  - Script call: Lune_Message.config(1, 4)
Map 5 Fim dos tempos - Event 1 EV001 (2,12) - Page 1 Line 2:  - Script call: Lune_Message.config(0, 0)
Map 5 Fim dos tempos - Event 2 Guardiao (8,9) - Page 1 Line 2:  - Script call: Lune_Message.config(1, 2)
Map 5 Fim dos tempos - Event 2 Guardiao (8,9) - Page 1 Line 5:  - Script call: Lune_Message.config(0, 0)
Map 5 Fim dos tempos - Event 2 Guardiao (8,9) - Page 1 Line 8:  - Script call: Lune_Message.config(1, 2)
Map 5 Fim dos tempos - Event 2 Guardiao (8,9) - Page 1 Line 11:  - Script call: Lune_Message.config(0, 0)
Map 5 Fim dos tempos - Event 2 Guardiao (8,9) - Page 1 Line 15:  - Script call: Lune_Message.config(1, 2)
Map 5 Fim dos tempos - Event 2 Guardiao (8,9) - Page 1 Line 18:  - Script call: Lune_Message.config(0, 0)
Map 5 Fim dos tempos - Event 2 Guardiao (8,9) - Page 1 Line 21:  - Script call: Lune_Message.config(1, 2)
Map 5 Fim dos tempos - Event 2 Guardiao (8,9) - Page 1 Line 30:  - Script call: Lune_Message.config(0, 0)
Map 5 Fim dos tempos - Event 2 Guardiao (8,9) - Page 1 Line 33:  - Script call: Lune_Message.config(1, 2)
Map 5 Fim dos tempos - Event 2 Guardiao (8,9) - Page 1 Line 64:  - Script call: Lune_Message.config(0, 0)
Map 5 Fim dos tempos - Event 2 Guardiao (8,9) - Page 2 Line 2:  - Script call: Lune_Message.config(1, 2)
Map 5 Fim dos tempos - Event 3 Ladrao (8,6) - Page 1 Line 3:  - Script call: Lune_Message.config(0, 0)
Map 5 Fim dos tempos - Event 12 EV012 (6,8) - Page 1 Line 2:  - Script call: Lune_Message.config(0, 0)
Map 6 Inicio - Event 2 EV002 (19,10) - Page 1 Line 2:  - Script call: Lune_Message.config(1, 0)
Map 6 Inicio - Event 3 EV003 (15,13) - Page 1 Line 2:  - Script call: Lune_Message.config(0, 0)
Map 6 Inicio - Event 4 Inicio (18,5) - Page 1 Line 3:  - Script call: Lune_Message.config(2, 0)
Map 6 Inicio - Event 4 Inicio (18,5) - Page 3 Line 6:  - Script call: Lune_Message.config(1, 0)
Map 6 Inicio - Event 5 EV005 (26,17) - Page 1 Line 2:  - Script call: Lune_Message.config(1, 0)
Map 6 Inicio - Event 5 EV005 (26,17) - Page 2 Line 2:  - Script call: Lune_Message.config(1, 0)
Map 6 Inicio - Event 6 EV006 (27,20) - Page 1 Line 2:  - Script call: Lune_Message.config(0, 0)
Map 6 Inicio - Event 6 EV006 (27,20) - Page 2 Line 2:  - Script call: Lune_Message.config(0, 0)
Map 6 Inicio - Event 7 EV007 (16,17) - Page 1 Line 2:  - Script call: Lune_Message.config(1, 0)
Map 6 Inicio - Event 7 EV007 (16,17) - Page 2 Line 2:  - Script call: Lune_Message.config(1, 0)
Map 6 Inicio - Event 10 EV010 (22,17) - Page 1 Line 2:  - Script call: Lune_Message.config(0, 0)
Map 6 Inicio - Event 11  (5,11) - Page 1 Line 2:  - Script call: Lune_Message.config(0, 0)
Map 6 Inicio - Event 11  (5,11) - Page 2 Line 2:  - Script call: Lune_Message.config(1, 128)
Map 6 Inicio - Event 11  (5,11) - Page 2 Line 5:  - Script call: Lune_Message.config(0, 0)
Map 6 Inicio - Event 11  (5,11) - Page 3 Line 2:  - Script call: Lune_Message.config(0, 0)
